Algorithm,Dataset,HammingLoss,Desv1,Accuracy,Desv2,Precision,Desv3,Recall,Desv4,FMeasure,Desv5,SubsetAccuracy,Desv6,MacroFMeasure,Desv7,MacroPrecision,Desv8,MacroRecall,Desv9,MicroFMeasure,Desv10,MicroPrecision,Desv11,MicroRecall,Desv12,OneError,Desv13,Coverage,Desv14,RankingLoss,Desv15,AveragePrecision,Desv16
RAkEL-BR,LLOG-F-5x2x1,0.0220,0.0012,0.1449,0.0232,0.3445,0.0554,0.1759,0.0212,0.7637,0.0318,0.0951,0.0244,0.2921,0.0301,0.2540,0.0499,0.0778,0.0128,0.2129,0.0250,0.3110,0.0453,0.1622,0.0180,0.8130,0.0384,39.4350,1.2097,0.4716,0.0079,0.2012,0.0263
RAkEL-BR,LLOG-F-5x2x2,0.0230,0.0010,0.1389,0.0090,0.3168,0.0147,0.1713,0.0130,0.7604,0.0291,0.0902,0.0120,0.2726,0.0120,0.2311,0.0469,0.0699,0.0157,0.1996,0.0128,0.2773,0.0172,0.1564,0.0134,0.8205,0.0129,39.6035,2.1512,0.4714,0.0215,0.1954,0.0128
RAkEL-BR,medical-5x2x1,0.0105,0.0008,0.7430,0.0182,0.8639,0.0243,0.7963,0.0236,0.9234,0.0122,0.6524,0.0181,0.8334,0.0256,0.7328,0.0651,0.5536,0.0370,0.8056,0.0147,0.8282,0.0187,0.7845,0.0201,0.2178,0.0298,5.8129,0.6783,0.1060,0.0160,0.7886,0.0244
RAkEL-BR,medical-5x2x2,0.0109,0.0008,0.7288,0.0181,0.8627,0.0142,0.7763,0.0216,0.9244,0.0092,0.6421,0.0132,0.7997,0.0324,0.7731,0.0406,0.5480,0.0457,0.7956,0.0119,0.8274,0.0112,0.7662,0.0130,0.2351,0.0321,5.9459,0.6104,0.1082,0.0135,0.7729,0.0176
RAkEL-BR,SLASHDOT-F-5x2x1,0.0434,0.0013,0.3485,0.0081,0.7124,0.0238,0.3695,0.0084,0.9096,0.0060,0.2995,0.0092,0.4141,0.0306,0.6210,0.0378,0.2288,0.0114,0.4642,0.0111,0.6900,0.0259,0.3499,0.0086,0.5343,0.0056,6.1596,0.0845,0.2580,0.0045,0.5188,0.0055
RAkEL-BR,SLASHDOT-F-5x2x2,0.0440,0.0015,0.3419,0.0181,0.7015,0.0228,0.3636,0.0175,0.9066,0.0093,0.2920,0.0210,0.3934,0.0097,0.6433,0.0560,0.2205,0.0128,0.4553,0.0166,0.6806,0.0243,0.3423,0.0148,0.5442,0.0214,6.2169,0.1682,0.2606,0.0068,0.5121,0.0176
BR-J48,tmc2007-5x2x1,0.0569,0.0008,0.6031,0.0041,0.7655,0.0055,0.7090,0.0045,0.7736,0.0023,0.3356,0.0038,0.5994,0.0098,0.6873,0.0064,0.5464,0.0093,0.7056,0.0045,0.7382,0.0057,0.6758,0.0041,0.2386,0.0044,5.3419,0.0748,0.1126,0.0031,0.7765,0.0027
BR-J48,tmc2007-5x2x2,0.0566,0.0003,0.6057,0.0039,0.7695,0.0054,0.7122,0.0030,0.7725,0.0008,0.3358,0.0034,0.6036,0.0076,0.6880,0.0106,0.5514,0.0069,0.7070,0.0027,0.7399,0.0048,0.6769,0.0023,0.2361,0.0055,5.4279,0.0766,0.1152,0.0025,0.7761,0.0032
CLR,tmc2007-5x2x1,0.0541,0.0006,0.6115,0.0029,0.7833,0.0050,0.7263,0.0049,0.7827,0.0019,0.3427,0.0022,0.6051,0.0110,0.7451,0.0146,0.5397,0.0093,0.7215,0.0036,0.7510,0.0049,0.6943,0.0043,0.1577,0.0042,2.4073,0.0433,0.0346,0.0015,0.8585,0.0035
CLR,tmc2007-5x2x2,0.0535,0.0004,0.6148,0.0032,0.7878,0.0033,0.7284,0.0024,0.7843,0.0013,0.3436,0.0056,0.6095,0.0074,0.7522,0.0068,0.5426,0.0058,0.7242,0.0018,0.7549,0.0045,0.6960,0.0021,0.1573,0.0052,2.4132,0.0221,0.0348,0.0003,0.8583,0.0024
